subject_ids,classifications,choice,aggregated_vector
13118615,7,BUFFALO,"[[86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 86], [0, 0], [0, 0]]"
13118615,7,NOTHINGHERE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0]]"
13118616,9,CARACAL,"[[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [0, 0], [0, 0]]"
13118616,9,HARE,"[[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 11], [0, 0], [0, 0]]"
13118617,8,CIVET,"[[87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0], [12, 87], [0, 0], [0, 0]]"
13118618,8,CIVET,"[[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 12], [0, 0], [0, 0]]"
13118618,8,GENET,"[[87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 87], [0, 0], [0, 0]]"
13118618,8,HIPPOPOTAMUS,"[[0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 12], [0, 0], [0, 0]]"
13118619,8,AARDVARK,"[[87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0], [0, 0, 0, 0, 0], [0, 87], [0, 0], [0, 0]]"
13689913,6,ELAND,"[[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [100, 0], [0, 0]]"
13689913,6,IMPALA,"[[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [100, 0], [0, 0]]"
13689917,8,ELAND,"[[0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 25], [25, 0], [0, 0]]"
13689917,8,IMPALA,"[[0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 75], [37, 37], [0, 0]]"
13689921,3,HUMAN,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [0, 0], [0, 0]]"
13689925,6,AARDVARK,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 17], [0, 0], [0, 0]]"
13689925,6,BABOON,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 17], [0, 0], [0, 0]]"
13689925,6,BUSHPIG,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0]]"
13689925,6,HARE,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 17], [0, 0], [0, 0]]"
13689925,6,HYENA,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 17], [0, 0], [0, 0]]"
13689925,6,JACKAL,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 17], [0, 0], [0, 0]]"
13689928,6,HARE,"[[50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 50], [0, 0], [0, 0]]"
13689928,6,HARTEBEEST,"[[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [100, 0], [0, 0]]"
13689932,4,HONEYBADGER,"[[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [0, 0], [75, 25]]"
13689935,7,CIVET,"[[29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 29], [0, 0], [0, 0]]"
13689935,7,HONEYBADGER,"[[0, 43, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [0, 0], [14, 86]]"
13690665,8,CIVET,"[[50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 50], [0, 0], [0, 0]]"
13690665,8,GENET,"[[50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 50], [0, 0], [0, 0]]"
13690668,7,BUSHPIG,"[[0, 0, 0, 71, 29, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 100], [0, 0], [0, 0]]"
